id,name,job,location,email,cellPhone,workPhone
5648,Mosley Bauer,Web Developer,"Dallas, TX",mosleybauer@bleendot.com,+1 (909) 431-3438,+1 (887) 482-3411
5649,Ann Grimes,Director,"Dallas, TX",anngrimes@bleendot.com,+1 (910) 547-2215,+1 (986) 588-2974
5650,Herrera Hill,Software Engineer,"Houston, TX",herrerahill@bleendot.com,+1 (992) 523-2764,+1 (937) 500-2474
5651,Alford Mcclure,Graphic Designer,"Houston, TX",alfordmcclure@bleendot.com,+1 (862) 452-2485,+1 (822) 452-3978
5652,Jacobson Howe,Web Developer,"Dallas, TX",jacobsonhowe@bleendot.com,+1 (992) 595-3580,+1 (884) 505-2437
5653,Mcpherson Brady,Consultant,"Dallas, TX",mcphersonbrady@bleendot.com,+1 (894) 549-3251,+1 (891) 471-3376
5654,Sandy Riggs,Consultant,"Dallas, TX",sandyriggs@bleendot.com,+1 (866) 568-3846,+1 (955) 576-2062
5655,Pruitt Morris,Web Developer,"Dallas, TX",pruittmorris@bleendot.com,+1 (890) 544-2398,+1 (868) 586-2454
5656,Meghan Richmond,Consultant,"Houston, TX",meghanrichmond@bleendot.com,+1 (822) 448-3465,+1 (978) 511-2240
5657,Dillard Salas,Director,"Houston, TX",dillardsalas@bleendot.com,+1 (806) 593-2104,+1 (848) 423-3452
5658,Schmidt Finley,Director,"Houston, TX",schmidtfinley@bleendot.com,+1 (920) 508-2598,+1 (921) 597-3946
5659,Hunter Massey,Director,"Austin, TX",huntermassey@bleendot.com,+1 (914) 474-2124,+1 (917) 570-2463
5660,Nunez Best,Graphic Designer,"Houston, TX",nunezbest@bleendot.com,+1 (985) 559-3192,+1 (979) 507-2573
5661,Peters Marsh,Graphic Designer,"Austin, TX",petersmarsh@bleendot.com,+1 (946) 508-3812,+1 (840) 466-3927
5662,Puckett Maxwell,Web Developer,"Houston, TX",puckettmaxwell@bleendot.com,+1 (802) 449-3486,+1 (977) 581-2106
5663,Olive Williams,Web Developer,"Dallas, TX",olivewilliams@bleendot.com,+1 (861) 502-2033,+1 (881) 550-3307
5664,Stark Arnold,Software Engineer,"Houston, TX",starkarnold@bleendot.com,+1 (984) 428-2952,+1 (957) 551-2272
5665,Donaldson Moore,Graphic Designer,"Houston, TX",donaldsonmoore@bleendot.com,+1 (821) 581-2751,+1 (955) 509-3138
5666,Jenna Owen,Consultant,"Houston, TX",jennaowen@bleendot.com,+1 (940) 555-2326,+1 (824) 460-2226
5667,Toni Christian,Director,"Austin, TX",tonichristian@bleendot.com,+1 (911) 589-3250,+1 (879) 546-3342
5668,Amalia Velez,Graphic Designer,"Austin, TX",amaliavelez@bleendot.com,+1 (966) 588-2297,+1 (899) 552-2735
5669,Kelly Horne,Director,"Houston, TX",kellyhorne@bleendot.com,+1 (977) 600-3989,+1 (999) 487-3285
5670,Miles Blackwell,Graphic Designer,"Houston, TX",milesblackwell@bleendot.com,+1 (895) 476-2504,+1 (947) 452-2836
5671,Kay Bishop,Graphic Designer,"Dallas, TX",kaybishop@bleendot.com,+1 (962) 437-3788,+1 (930) 531-2795
5672,Rodriquez Joyner,Consultant,"Austin, TX",rodriquezjoyner@bleendot.com,+1 (857) 548-3393,+1 (856) 562-2891
5673,Whitney David,Director,"Austin, TX",whitneydavid@bleendot.com,+1 (972) 538-3502,+1 (934) 430-2030
5674,Rose Woods,Web Developer,"Houston, TX",rosewoods@bleendot.com,+1 (862) 441-2478,+1 (976) 485-2255
5675,Hughes Hammond,Web Developer,"Austin, TX",hugheshammond@bleendot.com,+1 (948) 519-3018,+1 (847) 588-3531
5676,Massey Baird,Director,"Austin, TX",masseybaird@bleendot.com,+1 (891) 466-3291,+1 (956) 432-2161
5677,Karin Wood,Web Developer,"Dallas, TX",karinwood@bleendot.com,+1 (906) 585-3660,+1 (920) 428-3617
5678,Maureen Sharpe,Graphic Designer,"Austin, TX",maureensharpe@bleendot.com,+1 (963) 478-3347,+1 (901) 479-2341
5679,Joanna Patterson,Director,"Houston, TX",joannapatterson@bleendot.com,+1 (938) 412-2296,+1 (921) 403-3715
5680,Fern Daugherty,Graphic Designer,"Dallas, TX",ferndaugherty@bleendot.com,+1 (893) 417-2429,+1 (922) 552-2205
5681,Diana Snider,Web Developer,"Houston, TX",dianasnider@bleendot.com,+1 (995) 449-3328,+1 (975) 434-2117
5682,Barbra Montgomery,Graphic Designer,"Houston, TX",barbramontgomery@bleendot.com,+1 (935) 507-3896,+1 (983) 558-3665
5683,Melinda Waters,Software Engineer,"Houston, TX",melindawaters@bleendot.com,+1 (968) 460-3724,+1 (889) 488-2697
5684,Jodi Chang,Software Engineer,"Dallas, TX",jodichang@bleendot.com,+1 (891) 431-3419,+1 (926) 480-2835
5685,Duncan Bates,Director,"Houston, TX",duncanbates@bleendot.com,+1 (811) 482-2960,+1 (978) 426-3300
5686,Luisa Mccormick,Graphic Designer,"Houston, TX",luisamccormick@bleendot.com,+1 (950) 505-2686,+1 (877) 444-3792
5687,Good Goodman,Graphic Designer,"Austin, TX",goodgoodman@bleendot.com,+1 (897) 573-2053,+1 (934) 487-3175
5688,Elvira Mcfadden,Director,"Houston, TX",elviramcfadden@bleendot.com,+1 (859) 572-3972,+1 (832) 558-2830
5689,Logan Hyde,Graphic Designer,"Austin, TX",loganhyde@bleendot.com,+1 (932) 524-3122,+1 (849) 554-2374
5690,Elisabeth Glenn,Software Engineer,"Dallas, TX",elisabethglenn@bleendot.com,+1 (995) 572-3543,+1 (956) 500-3031
5691,Kris Frye,Director,"Austin, TX",krisfrye@bleendot.com,+1 (859) 510-2603,+1 (932) 407-3551
5692,Stout Benjamin,Software Engineer,"Houston, TX",stoutbenjamin@bleendot.com,+1 (972) 440-3801,+1 (886) 592-3352
5693,Knowles Blackburn,Graphic Designer,"Dallas, TX",knowlesblackburn@bleendot.com,+1 (804) 475-2505,+1 (987) 480-3656
5694,Lela Randolph,Software Engineer,"Dallas, TX",lelarandolph@bleendot.com,+1 (920) 600-3972,+1 (846) 566-3591
5695,Brittany Lott,Software Engineer,"Houston, TX",brittanylott@bleendot.com,+1 (905) 558-3897,+1 (955) 538-2633
5696,Melva Parker,Graphic Designer,"Houston, TX",melvaparker@bleendot.com,+1 (995) 517-2489,+1 (951) 591-3296
5697,Edwina Beach,Director,"Austin, TX",edwinabeach@bleendot.com,+1 (997) 481-3686,+1 (966) 592-2221
5698,Millie Haney,Web Developer,"Austin, TX",milliehaney@bleendot.com,+1 (987) 409-2715,+1 (882) 576-2138
5699,Beryl Fletcher,Web Developer,"Dallas, TX",berylfletcher@bleendot.com,+1 (869) 488-2621,+1 (935) 556-2298
5700,Wilkerson Everett,Consultant,"Dallas, TX",wilkersoneverett@bleendot.com,+1 (884) 481-3929,+1 (975) 476-2416
5701,Coffey Blankenship,Graphic Designer,"Houston, TX",coffeyblankenship@bleendot.com,+1 (905) 567-2394,+1 (904) 582-2501
5702,Eileen Witt,Consultant,"Dallas, TX",eileenwitt@bleendot.com,+1 (933) 534-2166,+1 (866) 575-2004
5703,Kelli Burris,Software Engineer,"Austin, TX",kelliburris@bleendot.com,+1 (970) 482-3895,+1 (807) 569-2920
5704,Davis Langley,Graphic Designer,"Dallas, TX",davislangley@bleendot.com,+1 (955) 577-2300,+1 (951) 479-2147
5705,Hooper Small,Software Engineer,"Houston, TX",hoopersmall@bleendot.com,+1 (957) 410-2349,+1 (872) 434-3863
5706,Fox Morse,Web Developer,"Austin, TX",foxmorse@bleendot.com,+1 (856) 469-2455,+1 (918) 556-3885
5707,Curtis Stuart,Graphic Designer,"Dallas, TX",curtisstuart@bleendot.com,+1 (924) 530-2835,+1 (894) 550-3765
5708,Bray Lane,Software Engineer,"Austin, TX",braylane@bleendot.com,+1 (982) 413-2364,+1 (942) 580-3018
5709,Howell Kirk,Software Engineer,"Houston, TX",howellkirk@bleendot.com,+1 (943) 485-2616,+1 (802) 598-2833
5710,Glenda Walton,Graphic Designer,"Houston, TX",glendawalton@bleendot.com,+1 (959) 494-3958,+1 (820) 578-3863
5711,Bowman Brewer,Software Engineer,"Houston, TX",bowmanbrewer@bleendot.com,+1 (889) 439-3209,+1 (928) 443-3547
5712,Hartman Newton,Director,"Austin, TX",hartmannewton@bleendot.com,+1 (809) 555-2531,+1 (950) 402-3203
5713,Lyons Stout,Director,"Houston, TX",lyonsstout@bleendot.com,+1 (881) 421-3284,+1 (941) 591-3413
5714,Essie Hardin,Graphic Designer,"Austin, TX",essiehardin@bleendot.com,+1 (880) 410-3175,+1 (913) 586-3776
5715,Jean Salinas,Web Developer,"Houston, TX",jeansalinas@bleendot.com,+1 (981) 447-3156,+1 (927) 473-2414
5716,Carpenter Potter,Director,"Houston, TX",carpenterpotter@bleendot.com,+1 (904) 580-2642,+1 (996) 592-3474
5717,Ferrell Oneil,Web Developer,"Houston, TX",ferrelloneil@bleendot.com,+1 (979) 513-2660,+1 (990) 414-2817
5718,Krista Raymond,Software Engineer,"Houston, TX",kristaraymond@bleendot.com,+1 (820) 568-2321,+1 (830) 406-3409
5719,Miriam Hart,Consultant,"Austin, TX",miriamhart@bleendot.com,+1 (870) 590-2517,+1 (810) 504-2591
5720,Sharpe Blake,Graphic Designer,"Dallas, TX",sharpeblake@bleendot.com,+1 (819) 596-3647,+1 (800) 405-3578
5721,Patty Clay,Web Developer,"Austin, TX",pattyclay@bleendot.com,+1 (877) 481-3776,+1 (942) 575-2343
5722,Castillo Delacruz,Software Engineer,"Austin, TX",castillodelacruz@bleendot.com,+1 (934) 454-2277,+1 (828) 406-2443
5723,William Howard,Consultant,"Houston, TX",williamhoward@bleendot.com,+1 (817) 418-3437,+1 (898) 501-2662
5724,Humphrey Ellis,Director,"Austin, TX",humphreyellis@bleendot.com,+1 (908) 556-3993,+1 (915) 556-2082
5725,Kemp Lowery,Director,"Houston, TX",kemplowery@bleendot.com,+1 (940) 506-2323,+1 (932) 461-2660
5726,Elvia Parrish,Director,"Austin, TX",elviaparrish@bleendot.com,+1 (896) 534-2257,+1 (822) 557-2640
5727,Mcintosh Vang,Director,"Austin, TX",mcintoshvang@bleendot.com,+1 (928) 526-2571,+1 (876) 548-3780
5728,Craig Cook,Software Engineer,"Austin, TX",craigcook@bleendot.com,+1 (975) 585-3849,+1 (904) 594-2023
5729,Chase Sexton,Web Developer,"Houston, TX",chasesexton@bleendot.com,+1 (814) 545-3637,+1 (868) 466-2294
5730,Reid Rollins,Web Developer,"Austin, TX",reidrollins@bleendot.com,+1 (832) 580-3022,+1 (943) 429-2341
5731,Elisa Walsh,Consultant,"Houston, TX",elisawalsh@bleendot.com,+1 (848) 482-2681,+1 (879) 561-2523
5732,Rebecca Hudson,Consultant,"Houston, TX",rebeccahudson@bleendot.com,+1 (851) 462-2252,+1 (982) 431-3249
5733,Head Lambert,Software Engineer,"Austin, TX",headlambert@bleendot.com,+1 (809) 403-3162,+1 (881) 421-2913
5734,Shannon Odom,Graphic Designer,"Austin, TX",shannonodom@bleendot.com,+1 (837) 438-3108,+1 (937) 467-2288
5735,Christensen Cummings,Director,"Houston, TX",christensencummings@bleendot.com,+1 (964) 534-2577,+1 (949) 477-3465
5736,Kaufman Hahn,Consultant,"Austin, TX",kaufmanhahn@bleendot.com,+1 (910) 535-2584,+1 (821) 512-2599
5737,Barrera Mckenzie,Director,"Houston, TX",barreramckenzie@bleendot.com,+1 (809) 488-3342,+1 (982) 432-3779
5738,Levy Sears,Director,"Austin, TX",levysears@bleendot.com,+1 (875) 552-3859,+1 (936) 505-3675
5739,Pat Whitley,Consultant,"Austin, TX",patwhitley@bleendot.com,+1 (916) 499-3306,+1 (834) 574-2552
5740,Blackburn Mcguire,Director,"Houston, TX",blackburnmcguire@bleendot.com,+1 (926) 523-2934,+1 (869) 574-2893
5741,Elaine Mcdaniel,Web Developer,"Austin, TX",elainemcdaniel@bleendot.com,+1 (824) 542-3566,+1 (818) 434-2536
5742,Holcomb Barnes,Director,"Austin, TX",holcombbarnes@bleendot.com,+1 (917) 490-3526,+1 (948) 586-3823
5743,Joyce Mercado,Director,"Dallas, TX",joycemercado@bleendot.com,+1 (924) 568-3742,+1 (886) 530-2419
5744,Cora Holloway,Web Developer,"Houston, TX",coraholloway@bleendot.com,+1 (808) 569-2762,+1 (837) 418-3476
5745,Baxter Workman,Web Developer,"Dallas, TX",baxterworkman@bleendot.com,+1 (972) 549-3426,+1 (896) 406-2289
5746,Corine Nicholson,Consultant,"Austin, TX",corinenicholson@bleendot.com,+1 (854) 508-2934,+1 (868) 431-2789
5747,Ursula Alston,Software Engineer,"Houston, TX",ursulaalston@bleendot.com,+1 (821) 446-2435,+1 (818) 558-2551
5748,Sandra Roy,Consultant,"Houston, TX",sandraroy@bleendot.com,+1 (822) 408-3010,+1 (979) 450-2003
5749,Wiggins Frank,Web Developer,"Dallas, TX",wigginsfrank@bleendot.com,+1 (916) 597-3968,+1 (934) 412-3872
5750,Wilder Larsen,Director,"Dallas, TX",wilderlarsen@bleendot.com,+1 (918) 541-3374,+1 (838) 430-3297
5751,Quinn Watts,Graphic Designer,"Houston, TX",quinnwatts@bleendot.com,+1 (918) 588-2823,+1 (916) 460-3733
5752,Sanders Williamson,Web Developer,"Houston, TX",sanderswilliamson@bleendot.com,+1 (806) 553-3380,+1 (810) 553-2456
5753,Koch Melton,Web Developer,"Houston, TX",kochmelton@bleendot.com,+1 (980) 406-3065,+1 (936) 509-3922
5754,Tanya Villarreal,Consultant,"Houston, TX",tanyavillarreal@bleendot.com,+1 (823) 535-3633,+1 (987) 415-2387
5755,Ware Ross,Software Engineer,"Dallas, TX",wareross@bleendot.com,+1 (896) 492-3942,+1 (891) 499-2121
5756,Sasha Owens,Web Developer,"Houston, TX",sashaowens@bleendot.com,+1 (862) 463-2802,+1 (827) 459-3981
5757,Bright Rivera,Web Developer,"Dallas, TX",brightrivera@bleendot.com,+1 (809) 585-2854,+1 (903) 565-3168
5758,Pugh Fitzgerald,Director,"Houston, TX",pughfitzgerald@bleendot.com,+1 (870) 424-2059,+1 (980) 466-3706
5759,Fitzgerald Sanders,Software Engineer,"Austin, TX",fitzgeraldsanders@bleendot.com,+1 (998) 584-2232,+1 (998) 409-3340
5760,Warner Fitzpatrick,Software Engineer,"Houston, TX",warnerfitzpatrick@bleendot.com,+1 (859) 599-3230,+1 (896) 588-3688
5761,Garcia Mathis,Consultant,"Austin, TX",garciamathis@bleendot.com,+1 (823) 517-3604,+1 (904) 512-3752
5762,Virginia Morton,Director,"Dallas, TX",virginiamorton@bleendot.com,+1 (839) 474-3814,+1 (874) 541-3378
5763,Kirsten Cross,Consultant,"Houston, TX",kirstencross@bleendot.com,+1 (830) 570-2437,+1 (877) 404-2629
5764,Violet King,Graphic Designer,"Dallas, TX",violetking@bleendot.com,+1 (960) 461-2013,+1 (874) 526-2505
5765,Lesley Wiggins,Graphic Designer,"Houston, TX",lesleywiggins@bleendot.com,+1 (951) 560-3875,+1 (851) 406-3632
5766,Lacy Warren,Web Developer,"Houston, TX",lacywarren@bleendot.com,+1 (918) 470-2394,+1 (844) 401-3163
5767,Gina Harris,Web Developer,"Dallas, TX",ginaharris@bleendot.com,+1 (837) 545-3282,+1 (881) 456-2979
5768,Brandie Whitney,Web Developer,"Dallas, TX",brandiewhitney@bleendot.com,+1 (949) 527-3464,+1 (815) 541-3427
5769,Nita Porter,Director,"Dallas, TX",nitaporter@bleendot.com,+1 (910) 484-3176,+1 (886) 406-2159
5770,Cara Lloyd,Graphic Designer,"Houston, TX",caralloyd@bleendot.com,+1 (990) 584-2843,+1 (972) 562-2517
5771,Fulton Warner,Web Developer,"Austin, TX",fultonwarner@bleendot.com,+1 (906) 430-2455,+1 (838) 451-2990
5772,Annmarie Maddox,Software Engineer,"Austin, TX",annmariemaddox@bleendot.com,+1 (842) 450-3332,+1 (975) 574-2567
5773,Serena Mcfarland,Web Developer,"Dallas, TX",serenamcfarland@bleendot.com,+1 (888) 562-3773,+1 (830) 573-2445
5774,Irene Fischer,Web Developer,"Houston, TX",irenefischer@bleendot.com,+1 (964) 554-2964,+1 (884) 584-3798
5775,Owen Richard,Graphic Designer,"Dallas, TX",owenrichard@bleendot.com,+1 (861) 537-2562,+1 (861) 526-2565
5776,Corinne Heath,Software Engineer,"Dallas, TX",corinneheath@bleendot.com,+1 (899) 556-2418,+1 (922) 573-2569
5777,Austin Vaughn,Director,"Houston, TX",austinvaughn@bleendot.com,+1 (982) 452-3534,+1 (853) 487-3491
5778,Alexandra Reeves,Director,"Austin, TX",alexandrareeves@bleendot.com,+1 (887) 596-2695,+1 (812) 428-2431
5779,Justine Hubbard,Software Engineer,"Dallas, TX",justinehubbard@bleendot.com,+1 (886) 474-2131,+1 (920) 554-3567
5780,Sondra Hicks,Consultant,"Dallas, TX",sondrahicks@bleendot.com,+1 (847) 591-3346,+1 (991) 460-3442
5781,Doreen Church,Consultant,"Houston, TX",doreenchurch@bleendot.com,+1 (984) 474-2168,+1 (897) 502-2242
5782,Marie Spears,Consultant,"Austin, TX",mariespears@bleendot.com,+1 (863) 582-2467,+1 (884) 436-2343
5783,Paula Wolf,Consultant,"Dallas, TX",paulawolf@bleendot.com,+1 (872) 560-3508,+1 (939) 508-2258
5784,Ethel Walter,Consultant,"Houston, TX",ethelwalter@bleendot.com,+1 (832) 465-2555,+1 (871) 563-2265
5785,Sheryl Cotton,Software Engineer,"Dallas, TX",sherylcotton@bleendot.com,+1 (923) 563-3588,+1 (951) 586-2203
5786,Flowers Graves,Web Developer,"Houston, TX",flowersgraves@bleendot.com,+1 (862) 459-2776,+1 (835) 581-2281
5787,Francine Nguyen,Graphic Designer,"Dallas, TX",francinenguyen@bleendot.com,+1 (983) 582-3838,+1 (805) 447-3415
5788,Wilda Marquez,Web Developer,"Houston, TX",wildamarquez@bleendot.com,+1 (875) 444-3781,+1 (844) 551-3426
5789,Faith Reynolds,Director,"Dallas, TX",faithreynolds@bleendot.com,+1 (993) 523-3528,+1 (910) 496-2640
5790,Gabriela Rocha,Software Engineer,"Austin, TX",gabrielarocha@bleendot.com,+1 (962) 512-3996,+1 (820) 491-3241
5791,Cornelia Dejesus,Consultant,"Houston, TX",corneliadejesus@bleendot.com,+1 (873) 574-3442,+1 (808) 419-3179
5792,Anna Collins,Director,"Austin, TX",annacollins@bleendot.com,+1 (887) 551-2952,+1 (987) 522-3685
5793,Jewell Baker,Director,"Houston, TX",jewellbaker@bleendot.com,+1 (940) 457-2018,+1 (901) 568-2702
5794,Bartlett Stephens,Graphic Designer,"Austin, TX",bartlettstephens@bleendot.com,+1 (926) 520-2556,+1 (844) 483-2603
5795,Dodson Armstrong,Consultant,"Dallas, TX",dodsonarmstrong@bleendot.com,+1 (887) 557-3073,+1 (909) 430-3664
5796,Magdalena Phillips,Director,"Austin, TX",magdalenaphillips@bleendot.com,+1 (899) 527-2942,+1 (828) 442-2594
5797,Sharon Davidson,Director,"Dallas, TX",sharondavidson@bleendot.com,+1 (954) 502-2536,+1 (979) 521-3294
5798,Shelley Salazar,Software Engineer,"Houston, TX",shelleysalazar@bleendot.com,+1 (826) 455-3063,+1 (967) 444-2128
5799,Maryellen Holcomb,Web Developer,"Dallas, TX",maryellenholcomb@bleendot.com,+1 (861) 436-3717,+1 (834) 594-3760
5800,Huff Le,Web Developer,"Houston, TX",huffle@bleendot.com,+1 (831) 490-3538,+1 (890) 477-3390
5801,Turner Estes,Consultant,"Houston, TX",turnerestes@bleendot.com,+1 (842) 585-3960,+1 (959) 491-3231
5802,Le Gallegos,Web Developer,"Dallas, TX",legallegos@bleendot.com,+1 (811) 528-2554,+1 (858) 428-3289
5803,Willa Lewis,Director,"Houston, TX",willalewis@bleendot.com,+1 (818) 514-2886,+1 (971) 530-2313
5804,Celina Wagner,Director,"Dallas, TX",celinawagner@bleendot.com,+1 (848) 419-2426,+1 (908) 515-3739
5805,Juliana Roman,Graphic Designer,"Dallas, TX",julianaroman@bleendot.com,+1 (806) 401-3651,+1 (916) 433-2594
5806,Lauren Ryan,Director,"Dallas, TX",laurenryan@bleendot.com,+1 (834) 410-2594,+1 (985) 507-3587
5807,Tyler Wolfe,Graphic Designer,"Houston, TX",tylerwolfe@bleendot.com,+1 (978) 478-3160,+1 (994) 579-3298
5808,Mullen Bryant,Web Developer,"Dallas, TX",mullenbryant@bleendot.com,+1 (807) 506-3223,+1 (881) 525-2715
5809,Freeman Walker,Software Engineer,"Dallas, TX",freemanwalker@bleendot.com,+1 (945) 544-3416,+1 (967) 515-2264
5810,Maria Horn,Graphic Designer,"Austin, TX",mariahorn@bleendot.com,+1 (988) 570-2760,+1 (980) 486-2528
5811,Burch Rogers,Web Developer,"Houston, TX",burchrogers@bleendot.com,+1 (882) 433-3257,+1 (923) 458-2922
5812,Sonya Crane,Web Developer,"Houston, TX",sonyacrane@bleendot.com,+1 (840) 546-2514,+1 (969) 592-3419
5813,Diann Zimmerman,Web Developer,"Austin, TX",diannzimmerman@bleendot.com,+1 (963) 425-3818,+1 (831) 411-2743
5814,Samantha Holt,Web Developer,"Houston, TX",samanthaholt@bleendot.com,+1 (999) 584-3432,+1 (911) 584-3248
5815,Crawford Noel,Web Developer,"Houston, TX",crawfordnoel@bleendot.com,+1 (997) 522-3256,+1 (908) 442-3084
5816,Clark Carr,Software Engineer,"Austin, TX",clarkcarr@bleendot.com,+1 (852) 563-3231,+1 (930) 545-2282
5817,Strickland Carlson,Software Engineer,"Houston, TX",stricklandcarlson@bleendot.com,+1 (917) 486-3495,+1 (851) 480-3575
5818,Eddie Wilkinson,Consultant,"Dallas, TX",eddiewilkinson@bleendot.com,+1 (813) 544-3411,+1 (897) 570-2385
5819,Graham Ayala,Software Engineer,"Austin, TX",grahamayala@bleendot.com,+1 (851) 424-3127,+1 (911) 436-2478
5820,Bernice Landry,Consultant,"Dallas, TX",bernicelandry@bleendot.com,+1 (954) 429-2212,+1 (996) 548-3485
5821,Malone Cunningham,Director,"Austin, TX",malonecunningham@bleendot.com,+1 (867) 489-3045,+1 (820) 420-3906
5822,Berry Norton,Consultant,"Houston, TX",berrynorton@bleendot.com,+1 (943) 412-2378,+1 (807) 492-3297
5823,Bonnie Clements,Graphic Designer,"Austin, TX",bonnieclements@bleendot.com,+1 (968) 497-3335,+1 (830) 452-3969
5824,Cooley Oneill,Software Engineer,"Austin, TX",cooleyoneill@bleendot.com,+1 (806) 418-2596,+1 (914) 531-2718
5825,Alberta Stark,Software Engineer,"Dallas, TX",albertastark@bleendot.com,+1 (867) 511-2611,+1 (841) 441-3094
5826,Stevenson Barlow,Web Developer,"Dallas, TX",stevensonbarlow@bleendot.com,+1 (825) 554-2441,+1 (814) 527-2143
5827,Corina Flowers,Software Engineer,"Houston, TX",corinaflowers@bleendot.com,+1 (949) 502-3620,+1 (907) 579-3087
5828,Rae Pennington,Graphic Designer,"Dallas, TX",raepennington@bleendot.com,+1 (924) 548-3382,+1 (948) 496-3031
5829,Wiley Mcintosh,Graphic Designer,"Austin, TX",wileymcintosh@bleendot.com,+1 (905) 556-3782,+1 (865) 523-2892
5830,Casandra Ruiz,Software Engineer,"Houston, TX",casandraruiz@bleendot.com,+1 (962) 470-2510,+1 (941) 425-3175
5831,Holloway Lang,Web Developer,"Austin, TX",hollowaylang@bleendot.com,+1 (937) 575-2738,+1 (817) 502-2111
5832,Kerry Burnett,Graphic Designer,"Dallas, TX",kerryburnett@bleendot.com,+1 (894) 586-2440,+1 (937) 403-3384
5833,Melisa Torres,Web Developer,"Houston, TX",melisatorres@bleendot.com,+1 (885) 497-3876,+1 (897) 593-2989
5834,Cox Chambers,Software Engineer,"Austin, TX",coxchambers@bleendot.com,+1 (872) 503-3718,+1 (948) 403-2267
5835,David Peterson,Graphic Designer,"Austin, TX",davidpeterson@bleendot.com,+1 (918) 565-2566,+1 (905) 593-3113
5836,Mays Mcdowell,Web Developer,"Austin, TX",maysmcdowell@bleendot.com,+1 (914) 588-3256,+1 (962) 400-2461
5837,Lora Saunders,Consultant,"Houston, TX",lorasaunders@bleendot.com,+1 (927) 507-3243,+1 (892) 575-2146
5838,Zimmerman Byers,Web Developer,"Austin, TX",zimmermanbyers@bleendot.com,+1 (954) 511-2679,+1 (964) 506-2259
5839,Clemons Burton,Graphic Designer,"Dallas, TX",clemonsburton@bleendot.com,+1 (984) 481-2555,+1 (928) 420-3884
5840,Pauline Gates,Web Developer,"Dallas, TX",paulinegates@bleendot.com,+1 (966) 595-2448,+1 (890) 578-2460
5841,Long Elliott,Director,"Houston, TX",longelliott@bleendot.com,+1 (810) 560-2913,+1 (916) 582-3861
5842,Elise Hoover,Software Engineer,"Austin, TX",elisehoover@bleendot.com,+1 (837) 435-3687,+1 (836) 590-3403
5843,Fernandez Adkins,Web Developer,"Houston, TX",fernandezadkins@bleendot.com,+1 (885) 594-3215,+1 (937) 471-2948
5844,Obrien Craig,Graphic Designer,"Dallas, TX",obriencraig@bleendot.com,+1 (907) 562-3380,+1 (872) 522-2773
5845,Leon Cohen,Consultant,"Dallas, TX",leoncohen@bleendot.com,+1 (939) 429-2959,+1 (941) 451-3508
5846,Wynn Dillard,Consultant,"Houston, TX",wynndillard@bleendot.com,+1 (995) 588-2982,+1 (985) 460-3775
5847,Slater Patel,Director,"Austin, TX",slaterpatel@bleendot.com,+1 (896) 533-3173,+1 (808) 471-3793
5848,Cotton Hopkins,Consultant,"Austin, TX",cottonhopkins@bleendot.com,+1 (921) 525-2788,+1 (973) 470-3990
5849,Ruthie Bullock,Software Engineer,"Dallas, TX",ruthiebullock@bleendot.com,+1 (987) 535-2836,+1 (969) 443-3708
5850,Geneva Zamora,Graphic Designer,"Houston, TX",genevazamora@bleendot.com,+1 (936) 485-2961,+1 (912) 461-2864
5851,Vonda Mcmahon,Consultant,"Houston, TX",vondamcmahon@bleendot.com,+1 (899) 483-2079,+1 (825) 595-3977
5852,Kate Carson,Consultant,"Dallas, TX",katecarson@bleendot.com,+1 (957) 437-2894,+1 (970) 580-2574
5853,Freida Joseph,Director,"Dallas, TX",freidajoseph@bleendot.com,+1 (849) 460-2316,+1 (841) 542-3808
5854,Frazier Bolton,Software Engineer,"Houston, TX",frazierbolton@bleendot.com,+1 (817) 482-2208,+1 (984) 600-2143
5855,Virgie Merrill,Director,"Austin, TX",virgiemerrill@bleendot.com,+1 (906) 521-3477,+1 (946) 492-2560
5856,Johanna Dodson,Graphic Designer,"Austin, TX",johannadodson@bleendot.com,+1 (859) 401-3178,+1 (966) 443-2144
5857,Preston Klein,Software Engineer,"Austin, TX",prestonklein@bleendot.com,+1 (966) 412-2262,+1 (967) 463-3044
5858,Jacqueline Webb,Director,"Houston, TX",jacquelinewebb@bleendot.com,+1 (965) 568-3322,+1 (828) 507-2290
5859,Garrison Beasley,Director,"Houston, TX",garrisonbeasley@bleendot.com,+1 (859) 437-3761,+1 (804) 413-2397
5860,Penelope Howell,Software Engineer,"Austin, TX",penelopehowell@bleendot.com,+1 (863) 584-3689,+1 (971) 448-2583
5861,Justice Davis,Consultant,"Austin, TX",justicedavis@bleendot.com,+1 (821) 545-2202,+1 (914) 424-3631
5862,Alta Conway,Software Engineer,"Austin, TX",altaconway@bleendot.com,+1 (878) 416-3228,+1 (969) 599-3863
5863,Porter Harvey,Web Developer,"Austin, TX",porterharvey@bleendot.com,+1 (835) 413-2333,+1 (820) 402-3768
5864,Lindsay Burgess,Graphic Designer,"Austin, TX",lindsayburgess@bleendot.com,+1 (803) 402-3121,+1 (883) 467-2632
5865,Marcy Strickland,Graphic Designer,"Houston, TX",marcystrickland@bleendot.com,+1 (950) 576-3951,+1 (831) 548-2165
5866,Luz Butler,Director,"Dallas, TX",luzbutler@bleendot.com,+1 (997) 464-2975,+1 (823) 518-3267
